1,"['Meta Winner Long Memory', (0, [2, 2, 2, 2])]","['Soft Go By Majority: 20', (0, [2, 2, 2, 2])]","['Meta Majority Memory One', (0, [2, 2, 2, 2])]","['Prober', (0, [2, 2, 2, 2])]","['Aggravater', (1, [0, 0, 0, 0])]","['$e$', (0, [2, 2, 2, 2])]","['Opposite Grudger', (1, [0, 0, 0, 0])]","['Prober 3', (0, [2, 2, 2, 2])]","['Alternator Hunter', (0, [2, 2, 2, 2])]"
2,"['Meta Winner Finite Memory;$e$', (1, [4, 4, 4, 4])]","['ZD-Extort-2 v2;Arrogant QLearner', (2, [4, 4, 4, 4])]","['ZD-Extort-4;Prober 2', (1, [4, 4, 4, 4])]","['Tricky Defector;Cycler CCD', (1, [2, 2, 2, 2])]","['Soft Go By Majority: 5;Opposite Grudger', (2, [2, 2, 2, 2])]","['Eatherley;Forgetful Fool Me Once', (2, [4, 4, 4, 4])]","['Random Hunter;Nice Average Copier', (0, [4, 4, 4, 4])]","['Cycler CCCD;Forgiver', (0, [4, 4, 4, 4])]","['Calculator;Omega TFT', (2, [4, 4, 4, 4])]"
3,"['Soft Joss: 0.9;Arrogant QLearner;Appeaser', (1, [6, 6, 6, 6])]","['Hesitant QLearner;Opposite Grudger;ZD-SET-2', (3, [4, 4, 4, 4])]","['Forgetful Fool Me Once;Forgiver;$\\pi$', (2, [6, 6, 6, 6])]","['Forgetful Grudger;Hard Tit For 2 Tats;Meta Hunter', (3, [6, 6, 6, 6])]","['Meta Majority;Retaliate (0.08);ALLCorALLD', (2, [4, 6, 6, 4])]","['Forgetful Fool Me Once;Tit For 2 Tats;Meta Winner Finite Memory', (3, [6, 6, 6, 6])]","['Cycle Hunter;Meta Winner Memory One;ZD-GTFT-2', (0, [6, 6, 6, 6])]","['Inverse;Aggravater;Nydegger', (2, [4, 4, 4, 4])]","['Cycler CCD;Cycler CCCCCD;Limited Retaliate (0.05/20)', (1, [6, 6, 6, 6])]"
4,"['Risky QLearner;Eventual Cycle Hunter;Arrogant QLearner;Meta Winner Finite Memory', (4, [8, 8, 8, 8])]","['$e$;Soft Go By Majority: 20;Limited Retaliate (0.08/15);Limited Retaliate (0.05/20)', (0, [8, 8, 8, 8])]","['Soft Joss: 0.9;Meta Majority Long Memory;Cooperator Hunter;Soft Go By Majority: 40', (4, [8, 8, 8, 8])]","['Meta Majority Long Memory;$e$;Cycler CCCCCD;Hard Go By Majority: 5', (2, [6, 6, 6, 6])]","['$\\pi$;Soft Joss: 0.9;Prober;Soft Go By Majority', (0, [8, 8, 8, 8])]","['Inverse;Defector Hunter;Fool Me Once;Arrogant QLearner', (4, [8, 8, 8, 8])]","['Cycler CCCD;Win-Stay Lose-Shift;Inverse;Prober 2', (3, [8, 8, 8, 8])]","['Cooperator Hunter;Hard Go By Majority: 20;ZD-Extort-4;Hard Go By Majority: 40', (3, [4, 4, 4, 4])]","['Limited Retaliate (0.1/20);Cycler CCCD;Omega TFT;ZD-Extort-4', (1, [8, 8, 8, 8])]"
5,"['Cycler CCCD;Nice Average Copier;Tester;Average Copier;Meta Majority', (0, [8, 10, 10, 10])]","['$e$;Once Bitten;Punisher;Alternator;Alternator Hunter', (4, [10, 10, 10, 10])]","['Calculator;Aggravater;Tester;Inverse;Limited Retaliate (0.1/20)', (5, [8, 8, 8, 8])]","['Hard Go By Majority: 20;Davis;Soft Joss: 0.9;ZD-Extort-4;Forgiving Tit For Tat', (5, [8, 8, 8, 8])]","['Alternator Hunter;Once Bitten;Grumpy;Meta Winner Finite Memory;Opposite Grudger', (5, [8, 8, 8, 8])]","['ZD-GEN-2;Average Copier;Hard Go By Majority;ZD-GTFT-2;Suspicious Tit For Tat', (5, [4, 4, 4, 4])]","['Calculator;ALLCorALLD;ZD-SET-2;Hard Go By Majority: 10;Davis', (4, [8, 6, 6, 8])]","['Nydegger;ZD-Extort-2;Appeaser;Davis;Hard Go By Majority', (2, [8, 8, 8, 8])]","['Prober 2;Hard Tit For 2 Tats;Cycler CCD;Suspicious Tit For Tat;Prober', (5, [8, 8, 8, 8])]"
6,"['Feld;Calculator;Opposite Grudger;Soft Go By Majority: 5;Tit For 2 Tats;Soft Go By Majority: 40', (6, [10, 10, 10, 10])]","['ZD-Extort-2;$\\phi$;Soft Go By Majority: 5;Once Bitten;Eventual Cycle Hunter;Tit For 2 Tats', (6, [12, 12, 12, 12])]","['Punisher;Prober 3;Forgetful Grudger;ZD-GTFT-2;Grofman;$\\phi$', (5, [12, 12, 12, 12])]","['Cycler CCD;Alternator;Limited Retaliate (0.05/20);Prober 2;Meta Winner Finite Memory;Inverse', (3, [12, 12, 12, 12])]","['Nice Average Copier;Retaliate (0.1);ZD-Extort-4;Aggravater;Average Copier;Meta Majority Memory One', (6, [10, 10, 10, 8])]","['Meta Majority Memory One;Nice Average Copier;Average Copier;ZD-Extort-2;Defector Hunter;Meta Winner Memory One', (6, [12, 10, 12, 10])]","['Hard Tit For Tat;Cycler CCD;Cycle Hunter;Alternator;Alternator Hunter;ZD-GTFT-2', (3, [12, 12, 12, 12])]","['Meta Majority;Limited Retaliate (0.05/20);Tullock;ZD-SET-2;Nice Average Copier;Tricky Defector', (3, [10, 10, 10, 10])]","['Risky QLearner;Joss: 0.9;Soft Go By Majority: 10;Nice Average Copier;Prober;$e$', (0, [12, 12, 12, 12])]"
7,"['Grumpy;Forgetful Fool Me Once;ZD-GEN-2;Cycler CCCD;ALLCorALLD;Hard Go By Majority;Tit For 2 Tats', (4, [12, 12, 12, 12])]","['Retaliate (0.05);Adapative Pavlov 2006;Hard Tit For Tat;Feld;Hard Prober;Anti Tit For Tat;Fool Me Once', (5, [14, 14, 14, 14])]","['Opposite Grudger;Math Constant Hunter;Suspicious Tit For Tat;GTFT: 0.33;Davis;Cooperator Hunter;Retaliate (0.05)', (0, [10, 10, 10, 10])]","['Cycler CCCD;Grofman;Eventual Cycle Hunter;Shubik;Cautious QLearner;Aggravater;Hard Go By Majority: 10', (0, [10, 10, 10, 10])]","['Feld;Soft Joss: 0.9;Hard Go By Majority: 10;Hard Go By Majority: 40;Aggravater;Meta Majority Memory One;Math Constant Hunter', (4, [8, 8, 8, 8])]","['Meta Minority;Sneaky Tit For Tat;Meta Winner Finite Memory;Grumpy;Opposite Grudger;Champion;Nice Average Copier', (4, [12, 12, 12, 12])]","['Hard Tit For 2 Tats;Meta Winner;GTFT: 0.33;Bully;$\\pi$;Two Tits For Tat;Meta Minority', (4, [14, 14, 14, 14])]","['Hard Go By Majority: 20;Limited Retaliate (0.1/20);Bully;Tricky Defector;Cycler CCD;$e$;GTFT: 0.33', (5, [10, 10, 10, 10])]","['Soft Go By Majority: 5;Suspicious Tit For Tat;Adapative Pavlov 2011;Hard Go By Majority;Nice Average Copier;$e$;Grumpy', (7, [10, 10, 10, 10])]"
8,"['Punisher;ZD-GEN-2;Grumpy;Adapative Pavlov 2006;GTFT: 0.33;Prober 3;Anti Tit For Tat;Grofman', (6, [16, 16, 16, 16])]","['Meta Winner Long Memory;Meta Winner Memory One;$\\pi$;Random Hunter;ZD-Extort-2;ZD-GTFT-2;Aggravater;Forgiver', (2, [14, 14, 14, 14])]","['Cycler CCCD;Prober 3;Joss: 0.9;Cycler CCD;Forgetful Grudger;Stochastic WSLS;Meta Winner Long Memory;Meta Majority Memory One', (0, [16, 16, 16, 16])]","['Joss: 0.9;Hard Tit For Tat;Cycler CCCCCD;Risky QLearner;Prober;Inverse Punisher;Soft Go By Majority: 20;Hard Prober', (2, [16, 16, 16, 16])]","['Tullock;Nice Average Copier;Fool Me Forever;Average Copier;Tricky Defector;Adapative Pavlov 2006;Inverse;Cautious QLearner', (2, [14, 12, 12, 14])]","['ZD-GEN-2;Risky QLearner;Once Bitten;BackStabber;Cycler CCCCCD;Anti Tit For Tat;Random Hunter;Prober 2', (4, [16, 16, 16, 16])]","['Cycler CCCD;Random: 0.5;Risky QLearner;Davis;Forgiver;Retaliate (0.05);Joss: 0.9;Feld', (0, [16, 16, 16, 16])]","['Hard Go By Majority: 40;Soft Go By Majority: 40;Average Copier;Grumpy;Hard Go By Majority: 10;Hard Tit For Tat;Hard Go By Majority: 5;Adapative Pavlov 2006', (8, [8, 8, 10, 8])]","['Cooperator Hunter;Tricky Cooperator;Two Tits For Tat;Hard Go By Majority: 10;Random: 0.5;Cycle Hunter;Shubik;Forgetful Fool Me Once', (5, [14, 14, 14, 14])]"
9,"['Limited Retaliate (0.05/20);Tricky Defector;Limited Retaliate (0.1/20);Risky QLearner;Meta Minority;ZD-GTFT-2;Soft Joss: 0.9;Hard Go By Majority: 5;Once Bitten', (4, [14, 14, 14, 14])]","['Inverse Punisher;Grumpy;Prober;Defector Hunter;Random: 0.5;Cooperator Hunter;Hard Go By Majority: 40;Eatherley;Soft Go By Majority: 20', (9, [16, 16, 16, 16])]","['Soft Go By Majority: 5;ZD-Extort-2;Stochastic WSLS;Grumpy;Fool Me Forever;Omega TFT;$\\pi$;Defector Hunter;Forgiver', (9, [18, 18, 18, 18])]","['Hard Prober;GTFT: 0.33;ZD-GEN-2;Average Copier;Grofman;Meta Hunter;Nice Average Copier;$\\pi$;Soft Go By Majority: 20', (7, [16, 18, 18, 16])]","['AntiCycler;Limited Retaliate (0.1/20);Hard Tit For Tat;Hard Prober;Soft Go By Majority: 5;ZD-GEN-2;Omega TFT;Retaliate (0.08);Alternator Hunter', (9, [18, 18, 18, 18])]","['Meta Minority;Omega TFT;Prober 2;Cycler CCD;Hard Go By Majority;Prober 3;Prober;GTFT: 0.33;Risky QLearner', (3, [16, 16, 16, 16])]","['Cautious QLearner;$\\pi$;Retaliate (0.08);Meta Winner Finite Memory;Grumpy;Inverse;Limited Retaliate (0.05/20);Soft Go By Majority;Once Bitten', (9, [18, 18, 18, 18])]","['Prober;Alternator;Meta Winner Long Memory;Shubik;Inverse;Alternator Hunter;Grofman;Cycler CCD;Meta Winner Finite Memory', (1, [18, 18, 18, 18])]","['Meta Majority Memory One;Grumpy;Soft Go By Majority: 40;Forgiver;AntiCycler;Grudger;Inverse;Meta Winner Finite Memory;ZD-SET-2', (4, [18, 18, 18, 18])]"
