1,"[[Meta Winner, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Cycler CCCCCD, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Soft Go By Majority: 20, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Punisher, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Forgetful Fool Me Once, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[ZD-GEN-2, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Sneaky Tit For Tat, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Joss: 0.9, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Eventual Cycle Hunter, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Limited Retaliate (0.1/20), EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Hard Go By Majority, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Nydegger, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Forgetful Fool Me Once, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Forgetful Fool Me Once, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Forgetful Grudger, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Tullock, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Suspicious Tit For Tat, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Champion, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Opposite Grudger, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Adapative Pavlov 2011, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Hard Go By Majority: 20, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Eatherley, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Alternator, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[$\pi$, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Limited Retaliate (0.08/15), EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Cautious QLearner, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Eventual Cycle Hunter, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Retaliate (0.05), EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Hard Go By Majority: 20, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Punisher, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]"
2,"[[DoubleCrosser, Meta Winner, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Aggravater, Hard Prober, EvolvedLookerUp], (0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Hard Go By Majority, Soft Go By Majority: 5, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Random: 0.5, Two Tits For Tat, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Cycle Hunter, Grofman, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Meta Majority Finite Memory, Hard Tit For 2 Tats, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Meta Winner, Meta Winner Memory One, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Nice Average Copier, Forgiving Tit For Tat, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Meta Majority, Fool Me Forever, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Davis, Forgetful Fool Me Once, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Meta Hunter, Limited Retaliate (0.05/20), EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Meta Minority, Risky QLearner, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Cooperator, Two Tits For Tat, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Cycler CCD, Retaliate (0.1), EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Soft Go By Majority: 10, Tullock, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Hard Go By Majority: 40, Tricky Defector, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Soft Go By Majority: 10, Tricky Cooperator, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Random: 0.5, Tricky Defector, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Suspicious Tit For Tat, Prober 3, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[ALLCorALLD, Meta Majority, EvolvedLookerUp], (0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Davis, $\pi$, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hesitant QLearner, Meta Winner Memory One, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Tit For 2 Tats, Hard Go By Majority: 10, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Soft Joss: 0.9, Once Bitten, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[ZD-Extort-2, Prober, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Omega TFT, Appeaser, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Tester, AntiCycler, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Shubik, Soft Go By Majority: 5, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Meta Winner Finite Memory, Adapative Pavlov 2011, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Davis, Omega TFT, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]"
3,"[[$\pi$, Prober, Meta Majority Memory One, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[ZD-Extort-2, DoubleCrosser, $e$, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Defector, Meta Minority, Soft Go By Majority, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[ALLCorALLD, Risky QLearner, Tricky Defector, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Prober, Cooperator Hunter, Risky QLearner, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Meta Winner Long Memory, Forgetful Grudger, ZD-SET-2, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 2, 0, 0, 0])]","[[Win-Stay Lose-Shift, Prober 2, Hard Go By Majority: 20, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Two Tits For Tat, Joss: 0.9, Eventual Cycle Hunter, EvolvedLookerUp], (0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Davis, ZD-GEN-2, Adapative Pavlov 2006, EvolvedLookerUp], (3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Defector, Punisher, $e$, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Cooperator, Once Bitten, Cycler CCCD, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Prober 3, Grofman, Soft Go By Majority: 20, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Opposite Grudger, Hard Tit For 2 Tats, ZD-Extort-2, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Tit For Tat, Limited Retaliate (0.08/15), ZD-Extort-4, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Two Tits For Tat, Meta Winner Finite Memory, Nydegger, EvolvedLookerUp], (3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Eatherley, Cautious QLearner, Meta Majority, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Tit For Tat, Omega TFT, Soft Go By Majority: 20, EvolvedLookerUp], (3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Arrogant QLearner, Fool Me Once, Tester, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Hard Go By Majority: 10, Soft Go By Majority, Forgiving Tit For Tat, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Tit For Tat, BackStabber, Appeaser, EvolvedLookerUp], (3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Champion, Shubik, Grudger, EvolvedLookerUp], (3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Cycler CCD, AntiCycler, Grudger, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Grudger, Calculator, Tit For 2 Tats, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Feld, Limited Retaliate (0.1/20), Defector Hunter, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Retaliate (0.08), Cooperator Hunter, Arrogant QLearner, EvolvedLookerUp], (2, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Average Copier, Champion, Retaliate (0.1), EvolvedLookerUp], (0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Forgetful Fool Me Once, Average Copier, Meta Winner Finite Memory, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[ZD-Extort-2 v2, Appeaser, BackStabber, EvolvedLookerUp], (0, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Adapative Pavlov 2011, Nydegger, Hard Go By Majority, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Once Bitten, Meta Winner, Eatherley, EvolvedLookerUp], (3, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]"
4,"[[Hard Prober, Calculator, ZD-SET-2, Meta Majority Finite Memory, EvolvedLookerUp], (2, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Sneaky Tit For Tat, Soft Go By Majority, Grumpy, Suspicious Tit For Tat, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Eventual Cycle Hunter, Tit For Tat, Soft Joss: 0.9, Meta Majority Finite Memory, EvolvedLookerUp], (4, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Limited Retaliate (0.1/20), Retaliate (0.05), Tricky Cooperator, Hesitant QLearner, EvolvedLookerUp], (3, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Random Hunter, Tullock, Cycle Hunter, Eventual Cycle Hunter, EvolvedLookerUp], (4, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Limited Retaliate (0.1/20), Soft Go By Majority: 40, Meta Winner Long Memory, Meta Majority, EvolvedLookerUp], (4, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Fool Me Forever, Champion, Tester, Cooperator, EvolvedLookerUp], (3, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Calculator, Retaliate (0.05), Hard Go By Majority: 10, Forgetful Fool Me Once, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Cautious QLearner, Two Tits For Tat, Tricky Defector, Risky QLearner, EvolvedLookerUp], (0, [6, 6, 6, 6, 6, 6, 6, 6, 6, 6])]","[[Bully, Win-Stay Lose-Shift, $e$, Hesitant QLearner, EvolvedLookerUp], (3, [6, 6, 6, 6, 6, 6, 6, 6, 6, 6])]","[[Grofman, Anti Tit For Tat, Nydegger, Tricky Defector, EvolvedLookerUp], (2, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Meta Winner, Hard Prober, Nydegger, Two Tits For Tat, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Cycler CCCD, Bully, Champion, Suspicious Tit For Tat, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Forgetful Grudger, Hard Go By Majority: 5, Win-Stay Lose-Shift, Soft Joss: 0.9, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Prober, $\phi$, Inverse, Eventual Cycle Hunter, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Tricky Cooperator, Prober 3, Retaliate (0.05), Soft Go By Majority, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Tit For Tat, Soft Joss: 0.9, Hard Tit For 2 Tats, Fool Me Forever, EvolvedLookerUp], (3, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Soft Go By Majority: 10, Retaliate (0.08), Retaliate (0.1), Meta Winner, EvolvedLookerUp], (4, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Limited Retaliate (0.05/20), Meta Winner Finite Memory, Meta Winner Memory One, Opposite Grudger, EvolvedLookerUp], (3, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Once Bitten, Defector, Omega TFT, Risky QLearner, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Arrogant QLearner, Champion, Adapative Pavlov 2011, Bully, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Hard Go By Majority: 10, Cycler CCCD, Appeaser, Prober 3, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[$e$, Feld, Meta Hunter, Limited Retaliate (0.08/15), EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Limited Retaliate (0.05/20), Limited Retaliate (0.1/20), Appeaser, Meta Minority, EvolvedLookerUp], (3, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[GTFT: 0.33, Opposite Grudger, ZD-GTFT-2, Meta Majority, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Meta Majority Memory One, GTFT: 0.33, Soft Joss: 0.9, Nydegger, EvolvedLookerUp], (4, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Grumpy, Eventual Cycle Hunter, BackStabber, Bully, EvolvedLookerUp], (3, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Eatherley, Joss: 0.9, Risky QLearner, Inverse, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Soft Go By Majority, Limited Retaliate (0.08/15), Fool Me Forever, Meta Majority, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Random: 0.5, Retaliate (0.08), Champion, Cooperator, EvolvedLookerUp], (0, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]"
5,"[[Hard Go By Majority: 10, Omega TFT, ZD-Extort-4, Hard Go By Majority: 40, Win-Stay Lose-Shift, EvolvedLookerUp], (4, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Prober, Sneaky Tit For Tat, Nice Average Copier, Fool Me Once, $e$, EvolvedLookerUp], (4, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[DoubleCrosser, Hard Go By Majority: 20, Eventual Cycle Hunter, Meta Majority Finite Memory, Bully, EvolvedLookerUp], (4, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Hard Tit For Tat, Alternator, Hard Go By Majority: 20, Meta Winner Long Memory, Forgetful Fool Me Once, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Win-Stay Lose-Shift, Retaliate (0.05), Hard Go By Majority, ZD-GTFT-2, Limited Retaliate (0.08/15), EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Random Hunter, Average Copier, Soft Go By Majority: 10, Alternator Hunter, Prober, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[ZD-Extort-4, Cycler CCD, Meta Majority Finite Memory, Joss: 0.9, Hard Go By Majority: 40, EvolvedLookerUp], (4, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Hard Go By Majority: 40, Adapative Pavlov 2006, Grudger, Win-Stay Lose-Shift, Hesitant QLearner, EvolvedLookerUp], (4, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Bully, BackStabber, Hard Go By Majority: 5, Cycler CCCCCD, Meta Winner, EvolvedLookerUp], (3, [6, 6, 6, 6, 6, 6, 6, 6, 6, 6])]","[[Soft Joss: 0.9, Hesitant QLearner, Defector Hunter, Retaliate (0.08), Omega TFT, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Bully, Hesitant QLearner, Prober 3, Forgetful Grudger, ZD-SET-2, EvolvedLookerUp], (1, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Defector Hunter, Fool Me Once, Tit For 2 Tats, Grudger, Inverse Punisher, EvolvedLookerUp], (5, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Arrogant QLearner, Forgiving Tit For Tat, ZD-GTFT-2, Cycler CCCD, Bully, EvolvedLookerUp], (0, [6, 6, 6, 6, 6, 6, 6, 6, 6, 6])]","[[Soft Joss: 0.9, Grofman, Soft Go By Majority: 10, Hard Go By Majority: 5, Calculator, EvolvedLookerUp], (4, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Prober 2, Opposite Grudger, Tricky Defector, Champion, Grofman, EvolvedLookerUp], (2, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Tricky Cooperator, Limited Retaliate (0.05/20), Fool Me Once, Random Hunter, Opposite Grudger, EvolvedLookerUp], (4, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Cycler CCCD, Aggravater, Average Copier, Soft Joss: 0.9, Tricky Defector, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Random Hunter, $e$, Retaliate (0.08), Meta Winner Finite Memory, Math Constant Hunter, EvolvedLookerUp], (1, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Appeaser, Hard Tit For 2 Tats, Hard Prober, Soft Go By Majority: 5, Grumpy, EvolvedLookerUp], (4, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Davis, Anti Tit For Tat, Cycler CCD, Limited Retaliate (0.08/15), Fool Me Once, EvolvedLookerUp], (2, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Grumpy, ZD-Extort-2, Soft Go By Majority: 20, Grudger, Meta Winner Memory One, EvolvedLookerUp], (1, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0])]","[[Tit For Tat, Math Constant Hunter, Opposite Grudger, Soft Go By Majority, Tullock, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Go By Majority: 40, ALLCorALLD, Inverse Punisher, Hard Go By Majority: 10, Once Bitten, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Hard Tit For 2 Tats, Meta Majority Long Memory, Fool Me Once, Hard Go By Majority: 5, ZD-Extort-4, EvolvedLookerUp], (4, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Hard Go By Majority: 20, Meta Minority, Meta Winner, Cycle Hunter, Defector Hunter, EvolvedLookerUp], (0, [4, 4, 4, 4, 4, 4, 4, 4, 4, 4])]","[[Limited Retaliate (0.05/20), Grumpy, AntiCycler, Forgetful Fool Me Once, Appeaser, EvolvedLookerUp], (2, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Meta Winner Long Memory, ZD-GEN-2, Grumpy, Hard Go By Majority: 5, Soft Go By Majority, EvolvedLookerUp], (3, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Two Tits For Tat, Prober, Limited Retaliate (0.05/20), Stochastic WSLS, GTFT: 0.33, EvolvedLookerUp], (3, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[Average Copier, Meta Minority, Soft Go By Majority: 40, Defector Hunter, Cycle Hunter, EvolvedLookerUp], (4, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]","[[BackStabber, Nice Average Copier, Meta Winner Long Memory, Math Constant Hunter, Hard Go By Majority: 5, EvolvedLookerUp], (4, [2, 2, 2, 2, 2, 2, 2, 2, 2, 2])]"
